Age at enrollment,avg_grade,avg_success_rate,financial_issue,Scholarship holder,Gender,Daytime/evening attendance,Curricular units 1st sem (enrolled),Curricular units 2nd sem (enrolled),Target
55,11.0,0.30000000000000004,0,0,0,1,5,5,0
39,11.3,1.0,0,0,0,0,5,5,2
20,11.833333333333332,0.5,1,0,0,1,6,6,0
18,6.375,0.3333333333333333,1,0,0,1,6,5,0
22,15.3,1.0,0,0,0,1,5,5,2
22,14.135428571428571,0.7946428571428572,0,0,0,1,7,8,2
20,13.4,0.75,1,0,0,1,6,6,0
29,0.0,0.0,0,0,0,0,5,5,0
24,12.916666666666668,0.5,0,0,0,0,5,5,1
18,12.433333333333334,0.9166666666666667,0,0,0,1,6,6,2
22,13.644047619047619,0.8660714285714286,0,1,0,1,7,8,2
21,12.392857142857142,1.0,0,1,0,0,6,6,2
19,12.583333333333334,0.9166666666666667,0,1,0,1,6,6,2
24,13.916666666666666,1.0,0,1,0,1,6,6,2
19,11.833333333333334,0.75,0,1,0,1,8,8,1
20,12.5,0.5833333333333333,0,1,0,1,6,6,1
19,15.257142857142856,1.0,0,0,0,1,5,5,2
27,10.8,1.0,0,0,0,0,5,5,0
18,13.319722222222222,1.0,0,0,0,1,7,8,2
39,0.0,0.0,0,0,0,1,6,6,0
27,12.95,0.8712121212121212,0,0,0,1,6,11,0
18,14.935,1.0,0,0,0,1,8,8,2
18,0.0,0.0,0,0,0,1,0,0,1
18,12.677380952380952,0.8660714285714286,0,0,0,1,7,8,2
21,12.0,1.0,0,1,0,1,6,6,2
19,0.0,0.0,0,1,1,1,0,0,1
19,10.7,0.5,0,0,1,1,6,6,1
24,0.0,0.0,0,0,1,1,6,6,1
29,11.45,0.6696428571428572,0,0,1,1,7,8,0
19,0.0,0.0,0,1,1,1,0,0,2
23,12.5,1.0,0,0,1,1,6,6,2
19,10.975,0.9,1,0,1,1,5,5,0
26,11.4,0.9166666666666667,0,0,1,1,6,6,1
18,0.0,0.0,0,0,1,1,5,5,1
24,12.8625,1.0,0,0,1,1,7,8,2
19,0.0,0.0,0,0,1,1,0,0,0
18,11.833333333333332,0.3333333333333333,0,0,1,1,6,6,0
18,12.333333333333334,0.75,0,0,1,1,6,6,2
18,10.595238095238095,0.6,1,0,1,1,5,5,0
21,10.75,0.41666666666666663,0,1,1,1,6,6,0
19,13.5,1.0,1,1,1,1,6,6,2
22,14.94920634920635,1.0,0,1,1,1,7,8,2
33,11.833333333333332,1.0,0,0,1,0,6,6,2
20,12.2,0.8333333333333334,0,0,1,1,6,6,0
35,0.0,0.0,0,0,1,0,1,5,0
24,12.733333333333334,0.6666666666666667,1,0,1,1,12,12,0
18,11.666666666666668,0.8,0,0,1,1,5,5,1
33,11.0,0.9166666666666667,0,0,0,0,6,6,2
22,13.08,0.875,0,1,0,1,8,8,2
25,11.05,0.9,0,1,0,1,5,5,2
20,10.933333333333334,0.9166666666666667,0,0,1,1,6,6,2
23,13.9,0.9,0,0,1,1,5,5,1
18,5.0,0.2,1,0,1,1,5,5,1
24,0.0,0.0,0,0,1,1,7,7,0
21,13.75,1.0,1,0,0,1,6,6,2
26,6.0,0.16666666666666666,0,0,0,1,6,6,0
39,6.333333333333333,0.25,0,0,0,1,6,6,0
44,12.104166666666668,1.0,0,0,0,0,8,6,2
19,13.625,0.8,0,0,1,1,5,5,1
18,13.5,1.0,0,0,0,1,6,6,2
18,14.11388888888889,1.0,0,1,0,1,7,8,2
19,14.0,1.0,0,0,0,1,5,5,1
19,5.98,0.2857142857142857,1,0,0,1,7,7,0
21,13.1375,0.6777777777777778,0,0,0,1,10,9,0
20,0.0,0.0,0,0,0,1,0,0,2
36,0.0,0.0,0,0,0,0,6,6,0
43,14.431174089068826,1.0,0,0,0,1,18,13,2
19,0.0,0.0,0,0,0,1,6,6,0
20,12.636363636363637,1.0,1,0,0,1,10,11,2
19,0.0,0.0,0,0,0,1,6,6,0
20,13.725,0.6666666666666666,0,0,0,1,6,6,0
20,12.783333333333333,0.7857142857142857,0,0,0,1,7,7,0
20,12.333333333333332,0.6428571428571428,0,0,0,1,7,7,1
18,14.428571428571429,1.0,0,0,0,1,6,6,2
18,12.0,0.6,0,1,0,1,5,5,1
19,13.100000000000001,1.0,0,0,0,1,5,5,2
18,12.619047619047619,1.0,0,0,0,1,6,6,2
18,12.516666666666666,0.8571428571428571,0,0,0,1,7,7,0
20,12.308333333333334,0.9285714285714286,0,0,0,1,7,7,1
20,10.375,0.5,0,1,0,1,6,6,1
20,10.5,0.6,0,0,0,1,5,5,1
18,12.271428571428572,1.0,0,0,0,1,5,5,2
18,13.3,1.0,0,0,0,1,5,5,2
21,11.0,0.41666666666666663,0,0,0,1,6,6,0
19,11.025,0.9,0,0,0,1,5,5,2
19,0.0,0.0,0,0,0,1,0,0,0
19,13.5,1.0,0,1,0,1,5,5,2
19,13.183333333333334,1.0,0,0,0,1,6,6,2
19,6.05,0.35714285714285715,0,0,0,1,7,7,0
20,13.972222222222223,0.9166666666666667,0,0,0,1,6,6,2
18,13.100000000000001,0.8333333333333334,0,1,0,1,6,6,1
18,13.333333333333332,1.0,0,0,0,1,6,6,2
19,14.239126984126983,1.0,0,0,0,1,7,8,2
18,13.490178571428572,0.9375,0,1,0,1,7,8,0
18,12.666666666666668,1.0,0,0,0,1,6,6,2
19,13.5,1.0,0,0,0,1,5,5,2
19,7.0,0.35714285714285715,0,0,0,1,7,7,0
20,11.69047619047619,1.0,0,0,0,1,9,7,2
19,12.25,0.75,1,1,0,1,6,6,0
20,11.85,0.8,0,0,0,1,5,5,2
18,14.833333333333334,1.0,1,1,0,1,6,6,2
20,13.04042857142857,0.7946428571428572,0,1,0,1,7,8,1
18,17.35625,1.0,0,0,0,1,7,8,2
19,12.666666666666666,0.8571428571428571,0,0,0,1,7,7,2
19,12.333333333333332,0.9166666666666667,0,1,0,1,6,6,2
22,0.0,0.0,1,0,0,1,5,5,1
19,11.416666666666668,1.0,0,1,0,1,6,6,2
19,12.968125,1.0,0,1,0,1,7,8,2
19,11.4,0.8333333333333334,0,1,0,1,6,6,2
19,0.0,0.0,0,0,0,1,5,5,0
20,11.433333333333334,0.6666666666666667,0,0,0,1,6,6,0
18,13.770833333333332,1.0,0,0,0,1,5,5,2
20,14.020952380952384,0.8660714285714286,0,1,0,1,7,8,2
18,0.0,0.0,0,0,0,1,0,0,1
19,12.9,1.0,0,0,0,1,5,5,2
18,11.583333333333334,0.6666666666666667,0,0,0,1,6,6,1
18,12.566666666666666,0.9166666666666667,0,0,0,1,6,6,2
21,11.333333333333332,0.5,0,0,0,1,6,6,0
19,11.75,0.8333333333333333,0,0,0,1,6,6,0
18,11.2,1.0,0,1,0,1,5,5,2
18,12.053571428571429,1.0,0,1,0,1,6,6,2
20,11.416666666666668,0.8333333333333333,0,0,0,1,6,6,2
24,11.8,0.8333333333333334,0,1,0,0,6,6,2
19,13.083333333333332,1.0,0,0,0,1,6,6,0
18,12.808333333333334,0.9375,0,1,0,1,7,8,2
18,15.136875,1.0,0,0,0,1,7,8,2
21,11.25,0.5833333333333333,0,0,0,1,6,6,0
19,14.2,1.0,0,0,0,1,5,5,2
19,12.75,1.0,0,1,0,1,6,6,2
47,0.0,0.0,1,0,0,1,1,6,1
19,11.333333333333332,0.75,0,0,0,1,6,6,2
29,14.257142857142856,0.875,0,0,0,1,8,8,2
21,11.666666666666668,0.41666666666666663,0,0,0,1,6,6,0
28,10.875,0.8,0,0,0,1,5,5,1
20,13.009821428571428,1.0,0,0,0,1,7,8,2
19,11.683333333333332,0.8571428571428571,0,0,0,1,7,7,2
26,11.833333333333332,0.6666666666666667,0,0,0,0,6,6,2
20,12.458333333333332,0.8333333333333333,1,0,0,1,6,6,0
18,12.583333333333332,0.7,0,1,0,1,5,5,1
27,12.6,0.8333333333333334,0,0,0,1,6,6,2
20,11.95,0.5714285714285714,0,0,0,1,7,7,0
18,11.4,0.8333333333333334,0,0,0,1,6,6,0
33,14.466666666666667,0.8035714285714286,0,0,0,1,7,8,0
35,12.704260651629074,1.0,0,0,0,1,21,19,2
26,12.916666666666666,1.0,0,1,0,0,6,6,1
27,6.0,0.4166666666666667,1,0,0,1,6,6,0
19,6.083333333333333,0.5,1,0,0,1,6,6,0
20,0.0,0.0,0,0,0,1,6,6,0
20,10.285714285714285,0.6,1,0,0,1,5,5,0
21,10.75,0.7333333333333334,1,0,0,1,10,6,1
18,13.05,0.8571428571428571,0,1,0,1,7,7,2
24,5.5,0.16666666666666666,0,0,0,1,6,6,0
20,11.75,1.0,0,0,0,1,6,6,2
21,12.25,1.0,0,1,0,1,6,6,2
23,10.0,0.26666666666666666,0,0,0,0,6,5,1
24,0.0,0.0,0,0,0,1,5,5,0
21,0.0,0.0,0,0,0,1,6,6,0
18,12.242857142857144,0.875,0,0,0,1,8,8,2
27,0.0,0.0,0,0,0,0,5,5,0
18,12.93375,1.0,0,0,0,1,8,8,2
35,0.0,0.0,0,0,0,1,5,5,0
18,13.5,1.0,0,0,0,1,7,7,2
35,11.575000000000001,1.0,0,0,0,1,3,3,1
19,14.041666666666668,0.8,0,0,0,1,5,5,2
20,11.25,1.0,0,0,0,1,6,6,2
18,12.324285714285711,0.875,0,0,0,1,8,8,2
21,11.94047619047619,1.0,1,0,0,1,6,6,2
18,11.196428571428571,0.75,0,1,0,1,6,6,2
18,10.875,0.6666666666666666,0,0,0,1,6,6,2
18,12.914285714285713,0.875,0,0,0,1,8,8,2
18,14.0,1.0,0,1,0,1,6,6,2
19,13.62857142857143,0.9166666666666667,0,0,0,1,6,6,2
36,13.257142857142856,0.9166666666666667,0,1,0,1,6,6,0
18,12.642857142857142,0.875,0,1,0,1,8,8,2
18,12.916666666666666,0.8571428571428571,0,1,0,1,7,7,2
20,15.741071428571429,1.0,0,1,0,1,6,6,2
26,0.0,0.0,0,1,0,0,5,5,0
21,11.857142857142858,1.0,0,0,0,1,6,6,2
25,12.71875,0.9285714285714286,0,0,0,1,7,8,1
19,11.6,1.0,0,1,0,1,5,5,2
24,5.0,0.08333333333333333,0,0,0,0,6,6,0
27,5.0,0.08333333333333333,0,1,0,0,6,6,0
21,6.75,0.2,0,0,0,1,5,5,0
18,12.666666666666668,0.7,0,1,0,1,5,5,2
19,13.916666666666668,1.0,0,1,0,1,6,6,2
18,11.875,0.5,0,0,0,1,6,6,0
19,13.021428571428569,0.7946428571428572,0,1,0,1,7,8,2
19,14.327083333333334,0.8660714285714286,0,1,0,1,7,8,2
33,15.566666666666666,1.0,0,0,0,0,6,5,2
45,12.4,1.0,0,0,0,1,5,5,2
20,12.428571428571429,1.0,0,1,0,1,6,6,2
28,0.0,0.0,0,0,0,1,5,5,0
19,11.571428571428571,0.875,0,1,0,1,8,8,2
18,12.761904761904763,0.75,0,0,0,1,6,6,2
38,0.0,0.0,0,0,0,1,6,6,0
19,13.1,1.0,0,0,0,1,5,5,2
21,11.5,0.8333333333333334,0,1,0,1,6,6,2
21,13.5,0.4,0,0,0,1,5,5,0
22,12.8,0.9166666666666667,0,1,0,1,6,6,2
18,13.283333333333333,0.9166666666666667,0,1,0,1,6,6,2
18,11.452380952380953,1.0,0,1,0,1,6,6,2
25,13.875,0.8,1,0,0,1,5,5,0
24,11.041666666666668,0.5,1,0,0,1,6,6,0
19,11.966964285714287,0.9285714285714286,0,0,0,1,7,7,1
24,13.232323232323232,0.6696832579185521,0,0,0,1,17,13,1
20,12.6,1.0,0,1,0,1,5,5,2
25,0.0,0.0,1,0,0,1,5,5,0
20,12.631818181818183,0.95,0,1,0,1,10,10,2
23,13.22,1.0,0,0,0,1,8,8,2
19,13.151428571428571,0.875,0,1,0,1,8,8,2
29,12.041666666666668,0.5,1,0,0,1,6,6,0
21,11.791666666666668,0.8333333333333333,0,0,0,1,6,6,2
18,13.696428571428571,0.9166666666666667,0,1,0,1,6,6,2
19,12.4,0.8333333333333334,0,0,0,1,6,6,1
18,13.916666666666668,1.0,0,1,0,1,6,6,0
19,13.7,1.0,0,0,0,1,5,5,2
18,5.5,0.08333333333333333,0,0,0,1,6,6,1
18,11.600000000000001,1.0,0,0,0,1,5,5,2
37,8.0,0.07142857142857142,1,1,0,1,7,7,0
29,12.952380952380953,1.0,0,0,0,0,5,5,2
18,12.166666666666668,1.0,0,0,0,1,6,6,1
19,12.166666666666666,0.8333333333333334,0,1,0,1,6,6,2
22,12.416666666666668,0.44285714285714284,1,0,0,1,10,7,0
20,10.883333333333333,0.9166666666666667,0,1,0,1,6,6,2
34,0.0,0.0,0,0,0,0,6,6,0
30,11.958333333333332,0.5833333333333333,1,0,0,1,12,12,0
18,14.0,1.0,0,0,0,1,6,6,2
18,12.416666666666668,1.0,0,0,0,1,6,6,2
18,11.958333333333332,0.5833333333333333,0,0,0,1,6,6,2
18,14.828571428571427,0.875,0,0,0,1,8,8,2
19,12.100000000000001,0.8333333333333334,0,1,0,1,6,6,2
19,12.75,1.0,0,1,0,1,6,6,2
18,13.671428571428573,0.875,0,1,0,1,8,8,2
21,12.733333333333334,0.9166666666666667,0,1,0,1,6,6,2
20,11.5,0.30000000000000004,1,0,0,1,5,5,0
20,12.916666666666668,1.0,0,0,0,1,5,5,2
19,13.11,1.0,0,0,0,1,7,8,2
20,14.964285714285715,1.0,0,0,0,1,6,6,2
18,14.536607142857141,1.0,0,0,0,1,7,8,2
20,10.833333333333332,0.6666666666666667,0,0,0,1,6,6,0
29,12.377777777777776,0.746031746031746,1,0,0,1,9,7,0
18,13.78607142857143,1.0,0,1,0,1,7,8,1
20,13.908303571428572,0.9375,0,1,0,1,7,8,2
22,11.7,0.8,0,1,0,1,5,5,2
47,14.166666666666666,0.9166666666666667,0,1,0,0,6,6,2
31,13.9,1.0,0,0,0,0,5,5,2
21,13.316666666666666,0.9166666666666667,0,1,0,1,6,6,2
21,12.32857142857143,0.9166666666666667,0,0,0,0,6,6,2
24,13.0,1.0,0,0,0,1,6,6,2
18,12.416666666666668,1.0,0,0,0,1,6,6,1
32,11.75,0.6666666666666666,0,0,0,0,6,6,2
19,11.166666666666668,1.0,0,1,0,0,6,6,2
24,13.385,1.0,0,0,0,1,8,8,2
19,15.083333333333332,1.0,0,0,0,1,6,6,2
19,14.083333333333334,1.0,1,1,0,1,6,6,2
24,12.214285714285715,0.9166666666666667,0,0,0,1,6,6,1
18,11.666666666666666,1.0,0,1,0,1,6,6,2
19,11.666666666666668,0.5833333333333334,0,1,0,1,6,6,0
19,14.725714285714288,0.875,0,1,0,1,8,8,2
18,13.916666666666666,1.0,0,1,0,1,6,6,2
18,11.952380952380953,1.0,0,0,0,1,6,6,2
20,12.81875,1.0,0,0,0,1,7,8,2
18,12.86,1.0,0,0,0,1,8,8,2
18,12.982142857142858,1.0,0,0,0,1,6,6,2
21,12.1,0.9,0,1,0,1,5,5,2
18,15.642777777777777,1.0,0,1,0,1,7,8,2
18,11.375,0.6000000000000001,1,0,0,1,5,5,0
19,0.0,0.0,0,0,0,1,6,6,0
19,11.0,0.6666666666666666,0,0,0,1,6,6,1
18,13.2375,0.8333333333333333,0,0,0,1,6,6,2
34,5.5,0.1,0,0,0,1,5,5,0
19,14.2,1.0,0,0,0,1,5,5,2
19,11.3,0.5833333333333334,1,0,0,1,6,6,0
26,14.988095238095237,1.0,1,0,0,1,6,6,2
21,11.333333333333334,0.5,0,0,0,1,6,6,0
18,11.5,1.0,0,1,0,1,5,5,2
20,13.533333333333333,0.8333333333333334,0,1,0,1,6,6,2
25,5.25,0.2,0,0,0,1,5,5,0
18,16.299999999999997,1.0,0,0,0,1,5,5,2
18,14.712337662337662,1.0,0,1,0,1,7,8,2
19,14.024920634920633,1.0,0,0,0,1,7,8,2
18,11.571428571428573,1.0,0,1,0,1,6,6,2
20,12.420238095238094,0.8035714285714286,0,0,0,1,7,8,1
26,0.0,0.0,1,0,0,1,3,6,0
19,13.058571428571428,0.875,0,1,0,1,8,8,2
19,14.177777777777777,1.0,0,0,0,1,7,8,2
19,11.9,0.65,0,0,0,1,10,10,2
19,11.666666666666668,0.6,0,0,0,1,5,5,1
18,11.119047619047619,0.75,0,0,0,1,6,6,2
19,13.333333333333334,0.8571428571428571,0,0,0,1,7,7,2
18,11.428571428571429,0.9166666666666667,1,0,0,1,6,6,2
18,12.0,0.8333333333333334,0,0,0,1,6,6,1
18,12.8,1.0,0,0,0,1,5,5,1
18,12.333333333333332,0.7857142857142857,0,0,0,1,7,7,1
26,0.0,0.0,1,0,0,1,5,5,0
20,12.5,1.0,0,0,0,1,6,6,2
19,12.166666666666666,1.0,0,0,0,0,6,6,2
18,12.916666666666666,1.0,0,1,0,1,6,6,2
19,14.0,1.0,0,0,0,1,6,6,2
40,14.785714285714285,1.0,1,0,0,1,7,7,2
18,13.39125,1.0,0,1,0,1,8,8,2
19,12.297619047619047,0.9166666666666667,0,0,0,1,6,6,2
18,11.875,0.8,0,0,0,1,5,5,2
19,12.0,0.7,0,0,0,1,5,5,1
18,0.0,0.0,0,0,0,1,0,0,0
33,12.845238095238095,1.0,0,0,0,0,6,6,2
35,13.55,1.0,0,0,0,1,6,6,2
26,12.5,0.6000000000000001,0,0,0,1,5,5,1
18,13.0,1.0,0,0,0,1,6,6,2
36,11.5,0.7524038461538461,0,0,0,1,16,13,1
39,11.333333333333332,1.0,0,0,0,0,5,5,2
44,13.416666666666668,1.0,0,0,0,1,6,6,2
20,11.625,0.75,0,0,0,0,6,6,1
24,12.05,0.6666666666666666,0,0,0,1,6,6,0
20,13.5,1.0,0,1,0,1,6,6,2
19,0.0,0.0,1,0,0,1,0,0,0
18,14.2,0.8571428571428571,1,1,0,1,7,7,2
22,5.5,0.4166666666666667,1,0,0,1,6,6,0
18,15.714285714285714,1.0,0,0,0,1,6,6,2
24,13.014285714285712,0.8660714285714286,0,0,0,1,7,8,2
33,0.0,0.0,0,0,0,0,5,5,0
30,0.0,0.0,1,1,0,1,6,6,1
26,0.0,0.0,0,0,0,1,6,6,0
18,11.75,1.0,0,0,0,1,6,6,2
19,11.333333333333332,0.41666666666666663,1,0,0,1,6,6,0
20,10.666666666666668,0.7,0,0,0,1,5,5,1
22,13.607142857142858,0.7525252525252526,0,1,0,1,11,9,2
19,13.98,0.7142857142857143,0,0,0,1,7,7,1
21,15.951923076923077,1.0,0,1,0,1,6,6,2
21,14.033333333333331,0.8571428571428571,0,1,0,1,7,7,2
19,11.1,0.6,0,0,0,1,5,5,1
19,13.761904761904763,0.9285714285714286,0,1,0,1,7,7,2
18,13.414285714285716,0.875,0,0,0,1,8,8,0
50,13.558441558441558,1.0,0,0,0,0,11,7,2
31,11.041666666666668,0.8,0,1,0,0,5,5,1
19,14.130952380952381,1.0,0,1,0,1,6,6,2
35,12.428571428571429,1.0,0,0,0,0,5,5,2
31,0.0,0.0,0,0,0,1,6,6,0
42,12.350000000000001,0.9090909090909091,1,0,0,0,11,11,1
34,0.0,0.0,1,0,0,1,5,5,0
18,15.211607142857142,1.0,0,1,0,1,7,8,2
18,12.80952380952381,0.9285714285714286,1,1,0,1,7,7,1
21,13.083333333333332,0.5833333333333334,0,0,0,1,6,6,1
26,11.859285714285715,0.7321428571428572,0,1,0,1,7,8,0
20,13.5,0.9285714285714286,0,0,0,1,7,8,1
19,10.333333333333334,0.5,0,0,0,1,6,6,1
19,13.297619047619047,1.0,0,1,0,1,6,6,2
20,11.833333333333332,0.8535353535353536,0,0,0,1,11,9,2
19,11.333333333333332,1.0,0,0,0,1,6,6,2
18,13.0,1.0,0,0,0,1,6,6,2
28,11.636363636363637,0.8474025974025974,0,0,0,0,14,11,2
22,12.783333333333333,0.8333333333333334,0,0,0,1,6,6,1
21,14.416666666666666,1.0,0,1,0,0,6,6,2
21,11.875,0.41666666666666663,0,0,0,1,6,6,1
26,11.67,0.6696428571428572,0,0,0,1,7,8,1
18,12.2,0.8333333333333334,1,0,0,1,6,6,0
20,11.416666666666668,0.4,1,0,0,1,5,5,0
18,14.428571428571429,1.0,0,0,0,1,6,6,2
19,12.86,0.875,0,1,0,1,8,8,2
20,11.863636363636363,1.0,0,0,0,1,11,11,2
22,12.571428571428571,0.75,0,1,0,1,6,6,2
18,12.757142857142856,0.75,1,0,0,1,6,6,0
19,5.333333333333333,0.3,0,0,0,1,5,5,0
18,11.399999999999999,0.75,0,1,0,1,6,6,1
20,10.333333333333334,0.5,0,0,0,1,6,6,1
19,11.625,0.5833333333333333,0,0,0,1,6,6,1
19,12.375,0.8333333333333333,0,0,0,1,6,6,1
19,14.731428571428571,0.875,0,0,0,1,8,8,2
18,0.0,0.0,0,0,0,1,0,0,2
21,13.932692307692308,1.0,0,0,0,1,13,12,2
27,15.3,1.0,0,0,0,0,5,5,2
19,14.619047619047619,1.0,0,0,0,1,6,6,2
25,0.0,0.0,0,0,0,1,5,5,0
18,14.654285714285717,0.875,0,1,0,1,8,8,2
24,12.401428571428571,0.875,0,0,0,1,8,8,2
20,12.829464285714286,0.9375,0,0,0,1,7,8,2
26,14.8,1.0,0,0,0,0,5,5,2
20,12.083333333333334,1.0,0,1,0,1,6,6,2
18,14.7,1.0,0,0,0,1,5,5,2
19,13.802884615384615,1.0,0,0,0,1,6,6,2
23,11.3,0.6666666666666667,0,0,0,1,6,6,0
18,11.6,0.8571428571428571,0,1,0,1,7,7,2
18,0.0,0.0,0,0,0,1,7,8,0
19,12.997936507936508,1.0,0,1,0,1,7,8,2
30,14.471428571428572,1.0,0,0,0,0,7,5,2
29,0.0,0.0,0,0,0,1,6,6,0
19,13.25375,1.0,0,0,0,1,8,8,2
20,13.942857142857143,1.0,0,0,0,1,7,8,2
20,13.916666666666666,0.8571428571428571,0,0,0,1,7,7,2
19,13.535714285714285,1.0,0,0,0,1,6,6,2
20,11.0,0.5,0,0,0,1,5,5,1
21,0.0,0.0,0,0,0,1,5,5,0
19,13.05,0.75,0,0,0,1,6,6,2
18,12.082857142857142,0.875,0,1,0,1,8,8,2
27,12.316666666666666,0.9166666666666667,0,1,0,0,6,6,2
19,12.9,1.0,0,1,0,1,5,5,2
19,0.0,0.0,0,1,0,1,7,7,0
19,14.385714285714286,0.9166666666666667,0,0,0,1,6,6,2
18,13.814285714285717,0.875,0,1,0,1,8,8,2
20,10.875,0.8333333333333333,0,1,0,1,6,6,1
18,14.083333333333332,1.0,0,1,0,1,6,6,2
19,0.0,0.0,0,0,0,1,6,6,0
36,11.3,0.8571428571428571,0,0,0,1,7,7,2
18,8.0,0.125,0,0,0,1,2,4,1
18,12.0,0.4,1,0,0,1,5,5,1
19,12.3,0.875,0,0,0,1,8,8,2
18,12.694285714285714,0.875,0,1,0,1,8,8,2
18,11.0,0.8,0,0,0,1,5,5,2
19,13.583333333333332,1.0,0,1,0,1,6,6,2
19,15.23125,1.0,0,1,0,1,7,8,2
18,13.495625,1.0,0,0,0,1,7,8,0
20,13.066666666666666,0.9166666666666667,0,0,0,1,6,6,2
20,12.8,0.8333333333333334,0,1,0,1,6,6,1
20,14.402857142857142,0.875,0,0,0,1,8,8,2
18,13.381428571428572,0.875,0,1,0,1,8,8,2
18,14.057500000000001,1.0,0,0,0,1,7,8,2
19,12.157142857142857,1.0,0,0,0,1,5,5,2
19,11.525,0.9,0,0,0,1,5,5,1
44,11.083333333333332,0.6666666666666666,0,0,0,0,6,6,2
32,0.0,0.0,0,0,0,1,6,6,0
22,12.8,0.8333333333333334,0,0,0,1,6,6,0
36,13.96853146853147,0.9583333333333333,0,0,0,1,12,12,2
18,12.916666666666668,1.0,0,1,0,1,6,6,2
20,15.5,1.0,0,0,0,1,5,5,2
20,13.636363636363637,1.0,0,1,0,1,11,11,2
19,10.55,0.75,0,0,0,1,6,6,2
24,11.2,1.0,1,0,0,1,5,5,2
20,10.5,0.75,0,0,0,1,6,6,1
27,11.122222222222224,0.6772727272727272,0,0,0,0,10,11,0
20,13.479166666666668,0.9166666666666667,0,0,0,1,6,8,1
23,13.133333333333333,1.0,0,1,0,1,16,13,2
18,13.31,1.0,0,1,0,1,8,8,2
18,11.385714285714286,0.8333333333333334,0,1,0,1,6,6,2
20,13.487142857142857,0.875,0,1,0,1,8,8,2
20,12.083333333333334,1.0,0,1,0,1,6,6,2
23,12.354166666666668,0.9166666666666667,0,0,0,1,6,6,0
20,13.966666666666669,0.8571428571428571,0,0,0,1,7,7,2
28,0.0,0.0,1,0,0,1,5,5,0
21,12.15,0.9,0,0,0,1,5,5,2
21,6.25,0.5,0,0,0,1,2,7,0
28,0.0,0.0,0,0,0,1,7,8,0
18,12.6025,0.8660714285714286,0,0,0,1,7,8,2
21,12.5,0.8333333333333334,0,1,0,1,6,6,1
19,12.825892857142858,0.9285714285714286,0,0,0,1,7,8,2
18,14.314285714285717,0.875,0,1,0,1,8,8,2
19,0.0,0.0,0,0,0,1,7,8,0
20,12.833333333333332,0.6666666666666666,0,0,0,1,6,6,1
20,12.447619047619046,0.8660714285714286,0,1,0,1,7,8,2
18,12.433333333333334,0.9166666666666667,0,1,0,1,6,6,2
20,11.035714285714285,0.8333333333333333,0,0,0,1,6,6,0
31,11.575,0.75,0,0,0,1,6,6,0
19,14.591875,1.0,0,1,0,1,7,8,2
19,12.67857142857143,0.8660714285714286,0,1,0,1,7,8,2
23,12.4375,1.0,0,0,0,1,6,6,2
19,14.095238095238095,1.0,0,0,0,1,6,6,2
20,12.6,0.8571428571428571,0,0,0,1,7,7,2
22,12.366666666666667,0.75,1,0,0,1,6,6,1
18,11.75,0.8571428571428571,0,0,0,1,7,7,1
27,11.25,0.30000000000000004,1,0,0,1,5,5,0
29,5.0,0.07142857142857142,0,0,0,1,7,7,0
