Age at enrollment,avg_grade,avg_success_rate,financial_issue,Scholarship holder,Gender,Daytime/evening attendance,Curricular units 1st sem (enrolled),Curricular units 2nd sem (enrolled)
29,15.2,1.0,0,0,1,0,5,5
19,12.75,0.9166666666666667,0,0,1,1,6,6
30,0.0,0.0,1,1,0,1,6,6
18,12.32,1.0,0,1,0,1,8,8
20,12.8,0.4,0,0,1,1,5,5
22,12.533333333333333,0.9166666666666667,0,1,1,1,6,6
22,11.5,0.8333333333333333,1,1,0,1,6,6
32,12.0625,1.0,0,0,0,1,7,8
19,0.0,0.0,0,1,1,1,5,5
19,13.427499999999998,1.0,0,0,0,1,8,8
27,15.3,1.0,0,0,0,0,5,5
20,13.416666666666668,0.4,0,0,1,1,5,5
20,10.833333333333332,0.6666666666666667,0,0,0,1,6,6
38,0.0,0.0,1,0,1,1,5,5
19,14.166666666666668,1.0,0,0,1,1,6,6
20,12.57857142857143,0.9166666666666667,0,0,1,1,6,6
29,10.416666666666668,0.6826923076923077,0,0,0,0,13,12
24,0.0,0.0,1,0,1,1,6,6
20,12.833333333333332,1.0,0,1,0,1,6,6
24,12.733333333333334,0.6666666666666667,1,0,1,1,12,12
48,11.233333333333334,0.9166666666666667,0,1,0,0,6,6
25,12.883333333333333,0.9166666666666667,0,0,1,1,6,6
35,12.333333333333332,1.0,0,0,0,0,6,6
46,12.583333333333334,1.0,0,0,0,0,6,6
18,13.133333333333333,0.9166666666666667,0,0,1,1,6,6
20,11.766666666666666,0.8,0,0,0,1,5,5
21,11.5,0.16666666666666666,1,0,0,1,6,6
19,11.916666666666668,1.0,0,1,0,1,6,6
18,12.916666666666666,1.0,0,1,0,1,6,6
18,12.625,0.9,0,1,0,1,5,5
22,12.75,0.8,1,0,1,1,5,5
19,10.7,0.5,0,0,1,1,6,6
19,0.0,0.0,0,1,0,1,0,0
18,13.425,0.9,0,0,1,1,5,5
20,11.166666666666668,0.41666666666666663,0,1,1,1,6,6
36,11.366666666666667,0.6666666666666667,0,0,1,1,6,6
19,11.75,0.25,0,0,0,1,6,6
19,11.416666666666666,1.0,0,0,0,1,6,6
19,5.333333333333333,0.3,0,0,0,1,5,5
18,11.7,1.0,0,0,0,1,5,5
18,11.125,0.75,0,0,0,1,6,6
31,13.083333333333332,1.0,0,0,0,1,6,6
35,12.428571428571429,1.0,0,0,0,0,5,5
19,13.7,0.75,0,0,0,1,6,6
18,13.416666666666668,1.0,0,0,0,1,6,6
18,12.25,1.0,0,1,0,1,6,6
24,0.0,0.0,1,0,0,0,5,5
18,0.0,0.0,0,1,0,1,0,0
20,13.72267857142857,1.0,0,0,0,1,7,8
20,12.05125,0.8660714285714286,0,0,0,1,7,8
18,11.857142857142858,0.875,0,1,0,1,8,8
20,12.75,1.0,0,1,0,1,6,6
19,14.06,0.875,0,1,0,1,8,8
18,13.40375,1.0,0,1,0,1,8,8
18,12.964285714285715,1.0,0,1,0,1,6,6
19,11.75,1.0,0,0,0,1,6,6
19,14.024920634920633,1.0,0,0,0,1,7,8
21,12.125,0.9,0,0,1,1,5,5
23,11.291666666666668,0.7,0,0,0,1,5,5
19,12.0,0.4,0,0,0,1,5,5
18,12.4,0.9166666666666667,1,0,1,1,6,6
29,13.0,1.0,0,0,1,0,6,6
22,12.333333333333332,0.8571428571428571,1,0,0,1,7,7
18,0.0,0.0,1,0,0,1,6,6
27,11.083333333333332,0.9166666666666667,0,0,0,0,6,6
29,13.089285714285715,1.0,0,0,0,0,11,7
25,11.852272727272728,0.7027972027972028,0,0,1,1,13,11
33,11.925,0.6696428571428572,0,0,0,1,8,7
18,12.666666666666668,0.7,0,1,0,1,5,5
18,0.0,0.0,0,0,1,1,0,0
25,14.083333333333332,1.0,0,0,1,1,6,6
37,12.343358395989975,1.0,0,0,1,1,21,19
18,15.25,0.8571428571428571,0,0,0,1,7,7
43,11.375,0.6666666666666666,1,0,0,1,6,6
18,14.207792207792206,1.0,0,0,0,1,7,8
19,10.5,0.42857142857142855,0,0,0,1,7,7
25,12.3,0.375,0,0,1,1,10,8
23,13.041666666666668,0.8333333333333333,0,0,1,1,6,6
18,12.75,1.0,0,0,0,1,6,6
22,12.416666666666668,0.44285714285714284,1,0,0,1,10,7
20,13.966666666666669,0.8571428571428571,0,0,0,1,7,7
19,13.375,0.8,0,0,1,1,5,5
18,12.166666666666668,0.7,0,0,0,1,5,5
19,12.732142857142858,0.9375,0,1,0,1,7,8
19,13.0,1.0,0,0,0,1,7,7
42,0.0,0.0,0,0,1,1,6,6
20,0.0,0.0,0,0,0,1,6,5
19,14.041666666666668,0.8,0,0,0,1,5,5
27,14.417460317460318,1.0,0,0,0,1,7,8
35,12.15,0.9,1,0,0,1,5,5
19,13.937142857142858,0.875,0,0,0,1,8,8
23,12.4875,0.6414141414141414,1,0,0,0,11,9
19,10.55,0.75,0,0,0,1,6,6
33,14.466666666666667,0.8035714285714286,0,0,0,1,7,8
33,13.0,0.75,0,0,0,1,6,6
19,12.783333333333333,0.9166666666666667,0,1,1,1,6,6
21,12.9,0.8333333333333333,0,0,0,1,6,6
26,12.4,1.0,0,0,1,0,5,5
26,12.714285714285715,0.9375,0,0,1,1,7,8
21,12.333333333333332,1.0,0,1,1,1,6,6
19,11.833333333333332,1.0,0,1,1,1,6,6
45,12.83409090909091,1.0,0,0,0,1,11,10
18,0.0,0.0,0,0,1,1,7,8
20,0.0,0.0,0,0,1,1,0,0
49,11.0,0.30000000000000004,1,0,1,0,5,5
19,13.292430555555557,0.9375,0,0,0,1,7,8
18,14.666666666666668,0.9166666666666667,0,0,0,1,6,6
18,14.383928571428571,1.0,0,0,0,1,6,6
19,12.69047619047619,1.0,0,0,0,1,6,6
20,12.104880952380952,0.875,1,0,1,1,7,8
30,11.333333333333332,0.4,0,0,1,0,5,5
18,11.721428571428572,0.875,0,1,0,1,8,8
41,12.0,0.9285714285714286,0,0,1,0,9,7
18,0.0,0.0,0,0,1,1,5,5
21,12.726190476190476,1.0,0,0,0,1,6,6
18,0.0,0.0,0,0,0,1,0,0
19,0.0,0.0,0,0,0,1,7,8
18,13.583333333333332,1.0,0,1,0,1,6,6
22,11.8,0.8333333333333334,0,1,0,1,6,6
19,10.65,0.6,0,0,1,1,5,5
22,11.925,0.75,0,0,0,1,6,6
18,14.428571428571429,1.0,0,0,0,1,6,6
24,11.25,0.4,0,0,1,1,5,5
27,0.0,0.0,0,0,0,0,5,5
20,11.875,0.6666666666666666,0,0,0,1,6,6
19,11.375,0.6666666666666666,0,0,1,1,6,6
18,0.0,0.0,0,0,0,1,6,6
25,12.675,0.75,0,0,1,1,8,8
19,12.899999999999999,0.8,0,0,0,1,5,5
19,13.571428571428571,1.0,0,0,0,1,6,6
38,11.2,1.0,0,1,0,0,5,5
18,13.42375,1.0,0,1,0,1,8,8
18,13.928571428571429,1.0,0,0,1,1,6,6
18,11.333333333333332,0.5833333333333333,0,1,1,1,6,6
37,10.666666666666668,0.5,0,0,0,0,5,5
44,11.666666666666668,0.8181818181818182,0,0,1,0,11,11
21,11.791666666666668,0.7,0,0,1,1,5,5
20,12.48375,1.0,0,0,0,1,8,8
20,12.166666666666668,1.0,0,0,0,1,5,5
18,13.5625,0.9,0,1,1,1,5,6
19,14.992857142857142,0.875,0,0,0,1,8,8
21,12.729166666666668,0.7142857142857142,0,0,0,1,7,7
18,12.365714285714288,0.875,0,0,1,1,8,8
19,11.916666666666668,0.5,0,1,0,1,5,5
20,12.916666666666668,1.0,0,0,0,1,5,5
19,13.857142857142858,1.0,0,1,0,1,7,7
19,10.833333333333332,0.3333333333333333,1,0,0,1,6,6
31,11.041666666666668,0.8,0,1,0,0,5,5
19,12.0,1.0,0,1,1,1,6,6
19,13.964285714285715,1.0,0,1,0,1,6,6
19,0.0,0.0,0,0,0,1,0,0
24,10.972222222222221,0.7307692307692308,0,0,0,1,13,13
18,10.857142857142858,0.8,0,1,0,1,5,5
41,0.0,0.0,1,0,0,1,6,6
20,11.416666666666666,1.0,0,1,0,1,6,6
33,11.283333333333333,0.9166666666666667,0,0,0,0,6,6
22,0.0,0.0,1,0,1,1,5,5
18,11.399999999999999,0.75,0,1,0,1,6,6
20,10.625,0.5,0,0,1,1,6,6
18,12.8,1.0,0,0,1,1,5,5
19,11.625,0.8,0,0,1,0,5,5
18,12.966666666666667,0.9166666666666667,1,0,0,1,6,6
20,12.2,1.0,0,0,1,1,5,5
18,13.045,1.0,0,0,0,1,8,8
19,0.0,0.0,0,0,0,1,6,6
28,12.375,0.75,1,0,0,1,6,6
20,13.25,1.0,0,0,0,1,6,6
21,11.5,0.3333333333333333,0,0,1,1,6,6
19,15.583333333333334,1.0,0,0,0,1,6,6
28,12.6,0.9166666666666667,0,0,1,1,6,6
43,13.48888888888889,0.9166666666666667,0,0,1,1,6,6
19,12.916666666666666,1.0,0,0,0,1,6,6
20,12.133333333333333,0.8333333333333334,0,0,0,1,6,6
18,12.125,0.8,0,0,0,1,5,5
19,12.253125,0.875,0,0,0,1,7,8
20,13.833333333333332,1.0,0,1,1,1,6,6
18,14.652857142857142,0.875,0,0,0,1,8,8
26,0.0,0.0,0,0,1,1,5,5
20,13.7,0.5833333333333334,0,0,1,1,6,6
22,10.8,0.7916666666666667,1,0,0,0,12,5
19,13.166666666666666,1.0,0,0,0,1,6,6
18,13.666666666666668,1.0,0,0,0,1,6,6
36,6.0,0.07142857142857142,0,0,1,1,7,7
30,11.9,0.33333333333333337,0,0,1,1,12,12
19,13.075757575757576,0.9545454545454546,0,1,1,1,12,11
19,0.0,0.0,0,0,1,1,0,0
21,12.708333333333332,0.7,0,0,0,1,5,5
19,12.454285714285716,0.875,0,0,0,1,8,8
18,12.916666666666668,1.0,0,1,0,1,6,6
18,0.0,0.0,0,0,1,1,8,8
20,13.837301587301589,1.0,0,0,0,1,11,9
18,11.196428571428571,0.75,0,1,0,1,6,6
20,13.416666666666668,1.0,0,1,0,1,6,6
24,11.357142857142858,0.9285714285714286,0,1,1,1,7,7
47,0.0,0.0,0,0,0,1,5,5
24,12.702380952380953,0.9166666666666667,0,0,0,1,6,6
39,14.666666666666668,1.0,0,1,0,0,6,6
29,0.0,0.0,0,0,1,0,5,5
20,11.75,0.65,0,0,0,1,5,4
24,13.3,0.8571428571428571,0,0,1,1,7,7
19,13.452380952380953,1.0,0,0,0,1,6,6
28,10.75,0.25,1,0,1,1,6,6
20,14.214285714285714,1.0,0,0,1,1,6,6
39,0.0,0.0,1,0,0,1,7,8
22,14.333333333333334,0.9166666666666667,0,0,0,1,6,6
20,11.8125,0.5136363636363637,1,0,0,1,11,10
19,12.157142857142857,1.0,0,0,0,1,5,5
18,13.416666666666668,0.6000000000000001,1,0,1,1,5,5
19,13.607142857142856,0.9375,0,0,0,1,7,8
19,5.5,0.2,0,0,1,1,5,6
21,5.9,0.4166666666666667,0,0,1,1,6,6
25,0.0,0.0,0,0,0,1,5,5
20,13.916666666666668,0.65,1,0,1,1,5,6
37,12.548076923076923,1.0,0,0,1,0,12,13
18,13.333333333333332,0.6,0,0,1,1,5,5
18,15.1,1.0,0,1,0,1,5,5
20,13.542857142857144,0.9166666666666667,0,0,0,1,6,6
18,13.94047619047619,1.0,0,0,0,1,6,6
28,0.0,0.0,1,0,0,1,6,6
19,12.651428571428571,0.8571428571428572,0,1,0,1,7,7
19,0.0,0.0,0,0,0,1,6,6
18,11.385714285714286,0.8333333333333334,0,1,0,1,6,6
34,14.399999999999999,1.0,0,0,1,0,5,5
20,11.85,0.9166666666666667,0,0,0,1,6,6
18,13.88125,1.0,0,1,0,1,8,8
24,12.5,1.0,0,0,0,1,5,5
32,0.0,0.0,0,0,0,1,7,8
18,12.833333333333332,1.0,0,1,0,1,6,6
19,13.726190476190476,1.0,0,1,0,1,6,6
19,14.177777777777777,1.0,0,0,0,1,7,8
20,12.25,0.6000000000000001,0,0,1,1,5,5
18,12.583333333333332,0.7,0,1,0,1,5,5
33,15.607142857142858,1.0,0,0,0,0,6,6
19,0.0,0.0,0,1,0,1,0,0
18,15.25,1.0,0,0,0,1,6,6
18,12.159375,1.0,0,0,1,1,7,8
22,6.666666666666667,0.3,0,0,1,1,5,5
29,0.0,0.0,0,0,1,1,6,6
18,13.952380952380953,1.0,0,1,1,1,6,6
19,0.0,0.0,0,0,1,1,0,0
45,13.928571428571429,1.0,0,0,0,0,12,7
31,12.083333333333332,0.6696428571428572,1,0,1,1,8,7
19,13.3425,1.0,0,0,0,1,8,8
19,11.3,0.5833333333333334,0,0,1,1,6,6
35,12.09,0.7142857142857143,0,0,0,1,7,7
18,10.928571428571429,0.8333333333333333,1,0,0,1,6,6
19,11.5,0.8333333333333334,0,0,0,1,6,6
19,12.333333333333332,1.0,0,0,0,1,6,6
40,12.541666666666668,0.8333333333333333,0,1,1,1,6,6
18,13.857142857142858,0.875,0,1,0,1,8,8
18,12.675,0.75,1,0,0,1,6,6
20,12.944642857142858,1.0,1,1,1,1,7,8
20,11.833333333333332,0.8535353535353536,0,0,0,1,11,9
24,0.0,0.0,0,0,1,1,7,7
18,13.583333333333332,1.0,0,0,0,1,6,6
20,11.55,0.9,0,0,0,1,5,5
19,11.399999999999999,0.8333333333333334,0,0,0,1,6,6
37,16.700000000000003,1.0,0,0,1,0,5,5
18,14.312857142857142,0.875,0,1,0,1,8,8
20,11.833333333333332,0.5,1,0,0,1,6,6
18,13.333333333333332,0.6,0,1,0,1,5,5
33,15.566666666666666,1.0,0,0,0,0,6,5
19,12.375,0.873015873015873,0,0,0,1,7,9
18,12.916666666666668,1.0,0,0,0,1,6,6
40,0.0,0.0,1,0,0,0,5,5
34,11.0,0.6000000000000001,0,0,0,1,5,5
19,12.735714285714284,0.7857142857142857,0,0,0,1,7,7
30,13.95,0.7142857142857142,1,0,1,1,7,7
18,14.819285714285714,1.0,0,1,0,1,7,8
33,5.25,0.2,1,0,1,0,5,5
20,13.2,0.75,0,0,0,1,6,6
22,12.833333333333332,0.75,0,0,0,1,6,6
18,12.899999999999999,1.0,0,1,1,1,5,5
36,11.3,0.8571428571428571,0,0,0,1,7,7
20,13.583333333333332,1.0,0,0,0,1,6,6
20,12.2,0.8,0,0,0,1,5,5
23,5.625,0.3333333333333333,0,0,1,1,6,6
21,11.25,0.75,0,1,1,1,6,6
20,13.016666666666666,0.8571428571428571,0,0,1,1,7,7
22,11.916666666666666,1.0,0,1,1,1,6,6
18,11.466666666666667,0.8333333333333334,0,0,0,1,6,6
18,15.2,0.8571428571428571,0,0,0,1,7,7
29,11.525,0.8,1,0,1,0,5,5
40,10.5,0.2,1,0,1,1,5,5
21,11.68,0.75,0,0,0,1,8,8
18,14.033222222222221,1.0,0,0,1,1,7,8
19,12.67857142857143,0.8660714285714286,0,1,0,1,7,8
25,0.0,0.0,0,0,1,1,0,0
18,14.65486111111111,1.0,0,0,0,1,7,8
19,10.666666666666668,0.7,1,0,1,1,5,5
19,11.416666666666666,0.75,0,1,1,1,6,6
34,6.75,0.16666666666666666,0,0,1,1,6,6
20,13.603125,0.875,0,1,0,1,7,8
18,0.0,0.0,0,1,0,1,0,0
20,12.471428571428572,0.875,0,0,0,1,8,8
21,12.375,0.8333333333333333,1,0,0,1,6,6
19,5.833333333333333,0.5,0,1,0,1,6,6
20,12.154761904761905,1.0,0,0,0,1,6,6
19,11.0,0.75,0,1,0,1,6,6
19,13.166666666666668,1.0,0,1,0,1,6,6
18,11.7,1.0,0,1,0,1,5,5
20,6.6,0.3333333333333333,0,1,1,1,6,6
18,13.25,1.0,0,0,0,1,6,6
19,13.828571428571427,0.875,0,0,1,1,8,8
47,0.0,0.0,1,0,0,1,1,6
19,0.0,0.0,0,0,1,1,6,6
35,11.4,1.0,1,0,1,0,5,5
19,13.270833333333332,1.0,0,1,0,1,6,6
21,11.866666666666667,0.8,0,0,1,1,5,5
26,0.0,0.0,1,0,1,1,4,5
24,12.399999999999999,0.8333333333333334,0,0,0,1,6,6
25,12.05,0.6703296703296704,0,0,1,1,14,13
19,12.771428571428572,0.875,0,1,0,1,8,8
23,11.328571428571427,0.875,1,0,0,1,8,8
20,13.38125,1.0,0,1,0,1,8,8
18,10.666666666666668,0.5,0,0,0,1,5,5
18,12.083333333333332,0.9166666666666667,0,0,1,1,6,6
20,13.5,1.0,0,0,0,1,6,6
22,11.1,0.7571428571428571,0,0,0,1,10,7
20,13.075,0.9,0,0,0,1,5,5
18,13.30952380952381,1.0,0,0,0,1,7,8
24,0.0,0.0,0,0,1,1,0,0
18,13.466666666666667,1.0,0,1,0,1,5,5
21,11.95,0.55,0,0,0,0,10,10
26,11.125,0.37222222222222223,1,0,0,1,9,10
21,11.0,0.41666666666666663,0,0,0,1,6,6
19,13.39125,1.0,0,1,0,1,7,8
28,10.875,0.8,0,0,0,1,5,5
18,11.714285714285715,0.9166666666666667,0,1,0,1,6,6
23,11.285714285714285,0.6643356643356644,0,0,0,0,13,11
31,13.55,0.8333333333333334,0,0,0,1,6,6
21,11.0,0.5,0,0,1,1,6,6
34,6.125,0.3333333333333333,0,0,1,0,6,5
20,11.416666666666668,0.4,1,0,0,1,5,5
29,14.395833333333332,1.0,0,0,0,0,6,6
20,11.966666666666667,0.8,0,0,0,1,5,5
24,10.583333333333332,0.6,0,0,0,0,5,5
37,0.0,0.0,1,0,0,0,5,5
39,11.375,0.8,0,0,0,1,5,5
27,0.0,0.0,1,0,1,0,5,5
18,10.5,0.6000000000000001,0,0,1,1,5,5
19,12.82875,1.0,0,1,0,1,8,8
22,0.0,0.0,1,1,1,1,4,4
31,0.0,0.0,0,0,0,1,7,8
20,0.0,0.0,0,1,0,1,8,8
19,11.880952380952381,1.0,0,1,0,1,6,6
32,13.743421052631579,0.9615384615384616,0,0,1,1,18,13
21,5.625,0.25,0,0,1,1,6,6
19,14.266666666666666,0.8571428571428571,0,0,0,1,7,7
18,13.283333333333333,0.9166666666666667,0,1,0,1,6,6
23,13.410714285714285,0.6111111111111112,1,0,0,1,9,9
43,12.266666666666666,0.9166666666666667,0,1,0,0,6,6
19,13.8,0.8571428571428571,0,1,0,1,7,7
29,11.5,0.7897435897435897,0,0,0,0,15,13
18,13.4,0.9166666666666667,0,0,0,1,6,6
22,12.157142857142857,0.9166666666666667,0,0,1,1,6,6
18,12.666666666666668,1.0,0,0,0,1,6,6
50,13.25,0.25,0,0,1,1,6,6
22,12.8,0.9166666666666667,0,1,0,1,6,6
18,13.916666666666668,1.0,0,1,0,1,6,6
31,12.583333333333332,0.7,1,0,1,1,5,5
19,13.75,1.0,0,1,1,1,6,6
25,0.0,0.0,1,0,0,1,6,6
19,15.125,1.0,1,0,0,1,12,11
19,12.3,0.9,0,0,1,1,5,5
19,11.65,0.6000000000000001,0,0,1,1,5,5
19,13.78,0.75,0,0,0,1,8,8
20,12.466666666666667,0.9,0,0,0,1,5,5
19,13.916666666666666,1.0,0,0,0,1,6,6
19,12.166666666666666,1.0,0,1,0,1,6,6
20,12.9125,1.0,0,1,0,1,6,6
20,12.666666666666668,0.6,0,0,0,1,5,5
18,11.333333333333332,0.9166666666666667,0,0,0,1,6,6
32,0.0,0.0,1,0,1,1,5,5
18,12.076923076923077,0.75,0,0,0,1,6,6
19,11.833333333333332,0.75,0,1,0,1,6,6
21,14.659236111111111,1.0,0,0,0,1,7,8
41,14.618181818181817,1.0,0,0,0,0,10,10
20,11.905714285714286,0.7857142857142857,0,0,0,1,7,7
39,13.18253968253968,1.0,0,0,1,0,9,7
18,5.4,0.4166666666666667,0,0,1,1,6,6
36,0.0,0.0,1,0,1,0,5,5
20,12.333333333333334,1.0,0,0,0,1,6,6
21,13.226190476190476,1.0,0,1,1,1,6,6
28,5.0,0.2,0,0,1,1,5,5
19,12.5625,0.8660714285714286,0,1,0,1,7,8
19,11.85,0.9166666666666667,0,1,0,1,6,6
27,12.442857142857143,0.7946428571428572,0,0,0,1,8,7
21,12.583333333333332,0.5,0,0,0,1,6,6
18,12.86,0.7142857142857143,0,1,0,1,7,7
22,0.0,0.0,1,0,1,1,0,0
18,11.8,0.9166666666666667,0,0,1,1,6,6
19,12.355714285714283,0.875,0,1,0,1,8,8
18,12.5,0.5,0,0,1,1,5,5
18,11.666666666666668,0.8,0,0,1,1,5,5
34,6.625,0.3333333333333333,0,0,0,0,6,6
18,13.35,1.0,0,0,1,1,6,6
19,14.185714285714287,0.9375,0,1,0,1,7,8
19,13.833333333333332,1.0,0,1,0,1,6,6
18,0.0,0.0,0,0,0,1,6,6
26,13.157142857142857,1.0,0,0,1,0,5,5
19,13.100000000000001,0.8333333333333334,0,0,0,1,6,6
20,11.863636363636363,1.0,0,0,0,1,11,11
26,11.25,0.5833333333333333,0,0,1,1,6,6
19,11.6,0.9166666666666667,0,1,1,1,6,6
18,14.666666666666666,1.0,0,0,0,1,6,6
19,11.916666666666666,0.9166666666666667,1,0,0,1,6,6
29,12.972689075630253,1.0,0,1,0,1,16,13
33,11.75,0.4,0,0,0,1,5,5
18,0.0,0.0,1,0,1,1,5,5
21,12.380952380952381,1.0,1,1,0,1,6,6
19,0.0,0.0,0,0,1,1,0,0
20,13.916666666666668,0.9,0,0,1,1,5,5
19,11.875,0.7,0,0,0,1,5,5
25,0.0,0.0,0,0,0,1,5,5
19,11.65,0.8,0,1,1,1,5,5
28,10.399999999999999,1.0,0,1,0,0,5,5
32,0.0,0.0,1,0,1,1,7,8
27,15.57,0.875,0,0,1,1,8,8
18,14.092063492063492,1.0,0,0,0,1,7,8
19,0.0,0.0,0,0,1,1,5,5
20,11.666666666666666,1.0,0,0,0,1,6,6
27,0.0,0.0,0,0,0,0,5,6
19,11.083333333333332,0.7,0,0,0,1,5,5
48,11.866666666666667,0.9166666666666667,0,0,0,1,6,6
21,14.13888888888889,1.0,0,1,0,1,17,17
21,12.333333333333332,0.6,0,0,0,1,5,5
